sample_index,class_key,project,repo_id,focal_class,module,complexity_half,gpt_strict_mutation_coverage,evosuite_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value
95,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/standbyjobsummaryserviceimpl.java,49384652,49384652,StandbyJobSummaryServiceImpl,niubi-job-framework/niubi-job-service,lower_complexity_half,0.0,0.0,0.0,5.0
96,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parseccompletablefuture.java,74999474,74999474,ParsecCompletableFuture,parsec-clients,lower_complexity_half,0.0,0.0,0.0,5.0
97,6944525:d2/src/main/java/com/linkedin/d2/balancer/zkfs/zkfsutil.java,6944525,6944525,ZKFSUtil,d2,lower_complexity_half,0.0,0.0,0.0,5.0
98,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/processor/insertwatermarksp.java,48046454,48046454,InsertWatermarksP,hazelcast-jet-core,lower_complexity_half,0.0,14.29,-14.29,-9.29
99,61565876:injector/src/main/java/ch/jalu/injector/handlers/dependency/singletonstoredependencyhandler.java,61565876,61565876,SingletonStoreDependencyHandler,injector,lower_complexity_half,0.0,0.0,0.0,5.0
100,6437134:enav-util/src/main/java/dk/dma/enav/util/compass/compassutils.java,6437134,6437134,CompassUtils,enav-util,lower_complexity_half,33.33,0.0,33.33,38.33
101,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/spring/doubledefinitionsregistrationcontext.java,97822421,97822421,DoubleDefinitionsRegistrationContext,infrastructure,lower_complexity_half,0.0,12.5,-12.5,-7.5
102,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/spring/util/beandefinitionfinder.java,97822421,97822421,BeanDefinitionFinder,infrastructure,lower_complexity_half,0.0,37.5,-37.5,-32.5
103,61565876:injector/src/main/java/ch/jalu/injector/handlers/instantiation/standardinjection.java,61565876,61565876,StandardInjection,injector,lower_complexity_half,0.0,0.0,0.0,5.0
104,66303306:event/src/main/java/com/bazaarvoice/emodb/event/api/dedupeventstorechannels.java,66303306,66303306,DedupEventStoreChannels,event,lower_complexity_half,86.67,20.0,66.67,71.67
105,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parsechttputil.java,74999474,74999474,ParsecHttpUtil,parsec-clients,lower_complexity_half,0.0,0.0,0.0,5.0
106,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/resourcefactory.java,45997449,45997449,ResourceFactory,WebRex,lower_complexity_half,0.0,7.69,-7.69,-2.6900000000000004
107,98410891:applications/demo/src/main/java/com/softavail/comms/demo/application/impl/propertiesconfiguration.java,98410891,98410891,PropertiesConfiguration,applications/demo,lower_complexity_half,0.0,0.0,0.0,5.0
108,98410891:core-interface/src/main/java/com/softavail/commsrouter/api/dto/model/skill/numberintervalboundary.java,98410891,98410891,NumberIntervalBoundary,core-interface,lower_complexity_half,0.0,20.0,-20.0,-15.0
109,6944525:d2/src/main/java/com/linkedin/d2/discovery/stores/zk/zookeeperconnectionawarestore.java,6944525,6944525,ZooKeeperConnectionAwareStore,d2,lower_complexity_half,0.0,0.0,0.0,5.0
110,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/definition/registry/doublesearch.java,97822421,97822421,DoubleSearch,infrastructure,lower_complexity_half,0.0,21.43,-21.43,-16.43
111,6293402:server/src/main/java/com/vaadin/data/provider/treedataprovider.java,6293402,6293402,TreeDataProvider,server,lower_complexity_half,0.0,0.0,0.0,5.0
112,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/user/users.java,43105609,43105609,Users,weixin-mp,lower_complexity_half,0.0,11.76,-11.76,-6.76
113,46396068:hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/decimalstringsplit.java,46396068,46396068,DecimalStringSplit,hbase0.98/hbase-common-0.98,lower_complexity_half,31.58,36.84,-5.260000000000005,-0.2600000000000051
114,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/menu/menus.java,43105609,43105609,Menus,weixin-mp,lower_complexity_half,0.0,6.67,-6.67,-1.67
115,95247959:http-clients/netty-nio-client/src/main/java/software/amazon/awssdk/http/nio/netty/internal/proxytunnelinithandler.java,95247959,95247959,ProxyTunnelInitHandler,http-clients/netty-nio-client,lower_complexity_half,0.0,0.0,0.0,5.0
116,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/user/tags.java,43105609,43105609,Tags,weixin-mp,lower_complexity_half,0.0,0.0,0.0,5.0
117,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/care/caremessages.java,43105609,43105609,CareMessages,weixin-mp,lower_complexity_half,0.0,6.67,-6.67,-1.67
118,6293402:server/src/main/java/com/vaadin/server/vaadinportletrequest.java,6293402,6293402,VaadinPortletRequest,server,lower_complexity_half,0.0,0.0,0.0,5.0
119,3713233:core/src/main/java/org/junithelper/core/meta/returntypemeta.java,3713233,3713233,ReturnTypeMeta,core,lower_complexity_half,85.71,42.86,42.849999999999994,47.849999999999994
120,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/standbynodeserviceimpl.java,49384652,49384652,StandbyNodeServiceImpl,niubi-job-framework/niubi-job-service,lower_complexity_half,0.0,0.0,0.0,5.0
121,78444970:examples/graph/src/main/java/graph/algorithm/mst/boruvkakruskal.java,78444970,78444970,BoruvkaKruskal,examples/graph,lower_complexity_half,0.0,0.0,0.0,5.0
122,3713233:core/src/main/java/org/junithelper/core/meta/argtypemeta.java,3713233,3713233,ArgTypeMeta,core,lower_complexity_half,85.71,42.86,42.849999999999994,47.849999999999994
123,46396068:hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/alertsender.java,46396068,46396068,AlertSender,hbase0.98/hbase-common-0.98,lower_complexity_half,33.33,0.0,33.33,38.33
124,49384652:niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/objecthelper.java,49384652,49384652,ObjectHelper,niubi-job-framework/niubi-job-core,lower_complexity_half,0.0,11.11,-11.11,-6.109999999999999
125,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/jdbc/jdbcrelationprovider.java,81384608,81384608,JdbcRelationProvider,integrations/spark/spark-catalog/spark-catalog-core,lower_complexity_half,0.0,0.0,0.0,5.0
126,78444970:examples/graph/src/main/java/graph/algorithm/path/dijkstra.java,78444970,78444970,Dijkstra,examples/graph,lower_complexity_half,0.0,0.0,0.0,5.0
127,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/server/agentserverversionschecker.java,44308560,44308560,AgentServerVersionsChecker,src/RobotFrameworkCore/org.robotframework.ide.core-functions,lower_complexity_half,0.0,0.0,0.0,5.0
128,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/battleship/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board,lower_complexity_half,0.0,0.0,0.0,5.0
129,61565876:injector/src/main/java/ch/jalu/injector/context/objectidentifier.java,61565876,61565876,ObjectIdentifier,injector,lower_complexity_half,0.0,0.0,0.0,5.0
130,45997449:webrex/src/main/java/com/ebayopensource/webrex/util/xmls.java,45997449,45997449,Xmls,WebRex,lower_complexity_half,100.0,46.15,53.85,58.85
131,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/linelengthcheck.java,39195736,39195736,LineLengthCheck,jproperties-checks,lower_complexity_half,0.0,0.0,0.0,5.0
132,9619226:spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/query/simpledbresultconverter.java,9619226,9619226,SimpleDbResultConverter,spring-data-simpledb-impl,lower_complexity_half,0.0,0.0,0.0,5.0
