sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,evosuite_branch_coverage,gpt_branch_coverage,evosuite_compilation,gpt_compilation,evosuite_line_coverage,gpt_line_coverage,evosuite_method_coverage,gpt_method_coverage,evosuite_mutation_coverage,gpt_mutation_coverage,evosuite_strict_branch_coverage,gpt_strict_branch_coverage,evosuite_strict_line_coverage,gpt_strict_line_coverage,evosuite_strict_method_coverage,gpt_strict_method_coverage,evosuite_strict_mutation_coverage,gpt_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value,strict_branch_diff_gpt_minus_evosuite
36,66303306:event/src/main/java/com/bazaarvoice/emodb/event/db/astyanax/defaultslaballocator.java,66303306,66303306,DefaultSlabAllocator,event/src/main/java/com/bazaarvoice/emodb/event/db/astyanax/DefaultSlabAllocator.java,event,maven:event,Maven,1.8,lower_complexity_half,119,975,8,4,4,15,1.875,1,145,pilot60,16.67,,1,0,39.22,,42.86,,13.16,,16.67,0.0,39.22,0.0,42.86,0.0,13.16,0.0,-13.16,-8.16,-16.67
37,66303306:web/src/main/java/com/bazaarvoice/emodb/web/settings/settingsmanager.java,66303306,66303306,SettingsManager,web/src/main/java/com/bazaarvoice/emodb/web/settings/SettingsManager.java,web,maven:web,Maven,1.8,higher_complexity_half,172,1501,11,10,4,18,1.6363636363636365,2,150,pilot60,0.0,,1,0,0.0,,0.0,,11.54,,0.0,0.0,0.0,0.0,0.0,0.0,11.54,0.0,-11.54,-6.539999999999999,0.0
38,6944525:d2/src/main/java/com/linkedin/d2/balancer/zkfs/zkfsutil.java,6944525,6944525,ZKFSUtil,d2/src/main/java/com/linkedin/d2/balancer/zkfs/ZKFSUtil.java,d2,gradle:d2,Gradle,1.8,lower_complexity_half,38,206,6,4,3,9,1.5,1,97,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
39,6944525:d2/src/main/java/com/linkedin/d2/balancer/util/loadbalancerutil.java,6944525,6944525,LoadBalancerUtil,d2/src/main/java/com/linkedin/d2/balancer/util/LoadBalancerUtil.java,d2,gradle:d2,Gradle,1.8,higher_complexity_half,169,980,12,14,4,26,2.1666666666666665,2,160,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
40,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parsecasynccompletionhandlerbase.java,74999474,74999474,ParsecAsyncCompletionHandlerBase,parsec-clients/src/main/java/com/yahoo/parsec/clients/ParsecAsyncCompletionHandlerBase.java,parsec-clients,gradle:parsec-clients,Gradle,1.8,lower_complexity_half,9,71,1,1,1,1,1.0,3,1,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
41,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parsecasynchttpclient.java,74999474,74999474,ParsecAsyncHttpClient,parsec-clients/src/main/java/com/yahoo/parsec/clients/ParsecAsyncHttpClient.java,parsec-clients,gradle:parsec-clients,Gradle,1.8,higher_complexity_half,391,2245,79,70,4,91,1.1518987341772151,1,164,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
42,77481567:core/src/main/java/de/voidnode/trading4j/moneymanagement/standard/riskmoneyprovider.java,77481567,77481567,RiskMoneyProvider,core/src/main/java/de/voidnode/trading4j/moneymanagement/standard/RiskMoneyProvider.java,core,maven:core,Maven,1.8,lower_complexity_half,16,127,2,1,3,4,2.0,1,85,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
43,77481567:core/src/main/java/de/voidnode/trading4j/api/failed.java,77481567,77481567,Failed,core/src/main/java/de/voidnode/trading4j/api/Failed.java,core,maven:core,Maven,1.8,higher_complexity_half,42,203,5,4,7,12,2.4,3,217,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
44,78444970:examples/graph/src/main/java/graph/algorithm/mst/boruvkakruskal.java,78444970,78444970,BoruvkaKruskal,examples/graph/src/main/java/graph/algorithm/mst/BoruvkaKruskal.java,examples/graph,maven:examples/graph,Maven,1.8,lower_complexity_half,38,334,2,1,4,5,2.5,2,121,pilot60,100.0,,1,0,100.0,,100.0,,0.0,,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,-100.0
45,78444970:examples/random/src/main/java/random/reservoirsamplingmultipleitems.java,78444970,78444970,ReservoirSamplingMultipleItems,examples/random/src/main/java/random/ReservoirSamplingMultipleItems.java,examples/random,maven:examples/random,Maven,1.8,higher_complexity_half,27,202,1,1,5,5,5.0,1,166,pilot60,50.0,100.0,1,1,55.56,94.44,100.0,50.0,30.0,70.0,50.0,100.0,55.56,94.44,100.0,50.0,30.0,70.0,40.0,45.0,50.0
