sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,arm,generator,prompt,compilation,fail_stage,branch_coverage,line_coverage,method_coverage,mutation_coverage,strict_branch_coverage,strict_line_coverage,strict_method_coverage,strict_mutation_coverage,failure_owner,failure_owner_note
21,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/util/skewreductionpolicy.java,48046454,48046454,SkewReductionPolicy,hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/util/SkewReductionPolicy.java,hazelcast-jet-core,maven:hazelcast-jet-core,Maven,1.8,higher_complexity_half,92,647,11,4,4,24,2.1818181818181817,1,156,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
21,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/util/skewreductionpolicy.java,48046454,48046454,SkewReductionPolicy,hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/util/SkewReductionPolicy.java,hazelcast-jet-core,maven:hazelcast-jet-core,Maven,1.8,higher_complexity_half,92,647,11,4,4,24,2.1818181818181817,1,156,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
22,49384652:niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/objecthelper.java,49384652,49384652,ObjectHelper,niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/ObjectHelper.java,niubi-job-framework/niubi-job-core,maven:niubi-job-framework/niubi-job-core,Maven,1.8,lower_complexity_half,20,158,2,2,4,6,3.0,2,124,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
22,49384652:niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/objecthelper.java,49384652,49384652,ObjectHelper,niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/ObjectHelper.java,niubi-job-framework/niubi-job-core,maven:niubi-job-framework/niubi-job-core,Maven,1.8,lower_complexity_half,20,158,2,2,4,6,3.0,2,124,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
23,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/standbyjobserviceimpl.java,49384652,49384652,StandbyJobServiceImpl,niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/StandbyJobServiceImpl.java,niubi-job-framework/niubi-job-service,maven:niubi-job-framework/niubi-job-service,Maven,1.8,higher_complexity_half,87,751,5,5,5,10,2.0,1,176,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
23,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/standbyjobserviceimpl.java,49384652,49384652,StandbyJobServiceImpl,niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/StandbyJobServiceImpl.java,niubi-job-framework/niubi-job-service,maven:niubi-job-framework/niubi-job-service,Maven,1.8,higher_complexity_half,87,751,5,5,5,10,2.0,1,176,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
24,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/header.java,558963,558963,Header,httpcache4j-api/src/main/java/org/codehaus/httpcache4j/Header.java,httpcache4j-api,maven:httpcache4j-api,Maven,1.8,lower_complexity_half,43,307,5,2,4,11,2.2,3,138,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
27,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/server/serverservice.java,60578004,60578004,ServerService,elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/server/ServerService.java,elastic-jobx-core,maven:elastic-jobx-core,Maven,1.6,higher_complexity_half,85,749,17,15,4,25,1.4705882352941178,1,158,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
28,61565876:injector/src/main/java/ch/jalu/injector/handlers/dependency/typesafeannotationhandler.java,61565876,61565876,TypeSafeAnnotationHandler,injector/src/main/java/ch/jalu/injector/handlers/dependency/TypeSafeAnnotationHandler.java,injector,maven:injector,Maven,1.8,lower_complexity_half,21,172,1,1,3,3,3.0,1,81,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
28,61565876:injector/src/main/java/ch/jalu/injector/handlers/dependency/typesafeannotationhandler.java,61565876,61565876,TypeSafeAnnotationHandler,injector/src/main/java/ch/jalu/injector/handlers/dependency/TypeSafeAnnotationHandler.java,injector,maven:injector,Maven,1.8,lower_complexity_half,21,172,1,1,3,3,3.0,1,81,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
