repo_id,run_id,attempt_no,command,command_source,working_directory,exit_code,status,failure_category,recoverability,log_path,duration_seconds,timestamp_start,timestamp_end
56853150,20260712_230641,2,gradle testClasses -x test -x integrationTest,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/56853150,1,failed,unknown_build_failure,needs_manual_review,logs/build/56853150_20260712_230641_attempt_2.log,1.83,1783880296.7637165,1783880298.5907643
56853150,20260712_230641,3,gradle testClasses -x test -x integrationTest -x checkstyleMain -x checkstyleTest -x spotlessCheck,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/56853150,1,failed,unknown_build_failure,needs_manual_review,logs/build/56853150_20260712_230641_attempt_3.log,1.81,1783880298.591673,1783880300.4016337
35564219,20260712_230641,1,gradle testClasses -x test,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/35564219,1,failed,unknown_build_failure,needs_manual_review,logs/build/35564219_20260712_230641_attempt_1.log,3.51,1783880372.7411604,1783880376.251463
35564219,20260712_230641,2,gradle testClasses -x test -x integrationTest,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/35564219,1,failed,unknown_build_failure,needs_manual_review,logs/build/35564219_20260712_230641_attempt_2.log,3.44,1783880376.2528083,1783880379.696299
35564219,20260712_230641,3,gradle testClasses -x test -x integrationTest -x checkstyleMain -x checkstyleTest -x spotlessCheck,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/35564219,1,failed,unknown_build_failure,needs_manual_review,logs/build/35564219_20260712_230641_attempt_3.log,3.42,1783880379.70586,1783880383.130247
37489990,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/37489990,0,success,,,logs/build/37489990_20260712_230641_attempt_1.log,22.84,1783880457.2188888,1783880480.062184
3526892,20260713_013426,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/3526892,1,failed,missing_dependency,needs_manual_review,logs/build/3526892_20260713_013426_attempt_1.log,1.54,1783881274.3934388,1783881275.9303565
3526892,20260713_013426,2,mvn test-compile -DskipTests -DskipITs,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/3526892,1,failed,missing_dependency,needs_manual_review,logs/build/3526892_20260713_013426_attempt_2.log,1.55,1783881275.932784,1783881277.4804895
3526892,20260713_013426,3,mvn test-compile -DskipTests -DskipITs -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/3526892,1,failed,missing_dependency,needs_manual_review,logs/build/3526892_20260713_013426_attempt_3.log,1.46,1783881277.4835496,1783881278.9386187
3526892,20260713_013426,4,mvn test-compile -DskipTests -DskipITs -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/3526892,1,failed,missing_dependency,needs_manual_review,logs/build/3526892_20260713_013426_attempt_4.log,1.39,1783881278.9404426,1783881280.3293693
