"schema_version","recipe_id","repo_id","repo_url","commit_sha","declared_java_version","effective_java_runtime","build_tool","scope_key","build_root_relative","module_dir_relative","module_selector","recipe","command_source","working_directory_placeholder","portable_command_windows","portable_command_posix","validation_log_relative","validation_log_sha256","original_command_sha256","source_or_dependency_files_modified","validated_at"
"v3-portable-recipe-1","v3:3713233:maven:core","3713233","https://github.com/seratch/junithelper","8c307eb05f762cf8030a3bd6d903228e0d5b98b2","6","8","maven","maven:core","core","core",".","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" clean test-compile","logs/build/3713233_maven_core_1.log","b4dfb6eb46e32baed8c29af34809883f92b6509cb9929eeed66b70a165c3d4d1","70cf62d9120c61a18e1e860b5222286d74b20c29c3fa1a63a00fd4f5c3bbb49d","false","2026-07-23T00:31:18+00:00"
"v3-portable-recipe-1","v3:98410891:maven:core","98410891","https://github.com/Nexmo/comms-router","4e5656db54be4b22481fe3774c2caeba51bac190","8","8","maven","maven:core",".","core","core","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl core -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl core -am clean test-compile","logs/build/98410891_maven_core_3.log","dc8a3e02c6f25e8a1da669083212053ace42c2b571e4eb06d85ea4955c307b13","e789088f982db0ba3217a007e0bceefde551ea86d714d99d845b25c850ef6869","false","2026-07-23T00:36:01+00:00"
"v3-portable-recipe-1","v3:98410891:maven:core-interface","98410891","https://github.com/Nexmo/comms-router","4e5656db54be4b22481fe3774c2caeba51bac190","8","8","maven","maven:core-interface",".","core-interface","core-interface","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl core-interface -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl core-interface -am clean test-compile","logs/build/98410891_maven_core-interface_3.log","c00bc6596a558d5d6faca8cb4ad000f49c5450f5e16ee099f06405fcfa4658a0","86caea4f63ec2202bb0524d9b43eaabd2188c6b21dca6371c4265c1d61b4791c","false","2026-07-23T00:36:11+00:00"
"v3-portable-recipe-1","v3:98410891:maven:applications/demo","98410891","https://github.com/Nexmo/comms-router","4e5656db54be4b22481fe3774c2caeba51bac190","8","8","maven","maven:applications/demo",".","applications/demo","applications/demo","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl applications/demo -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl applications/demo -am clean test-compile","logs/build/98410891_maven_applications_demo_3.log","af03e8c201184ebffb9722e3184cb5cf3524f52b1caba5bd745e004bf9ed8f73","2ee82cf109ba3fbc9410715e23d62904573905d183033fbf54056025d4c34318","false","2026-07-23T00:36:33+00:00"
"v3-portable-recipe-1","v3:3847504:maven:modules/weblounge-common","3847504","https://github.com/digitalroastery/weblounge","653c25ff728c18c31bdf12b21d45106dacc080dc","7","8","maven","maven:modules/weblounge-common",".","modules/weblounge-common","modules/weblounge-common","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl modules/weblounge-common -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl modules/weblounge-common -am clean test-compile","logs/build/3847504_maven_modules_weblounge-common_3.log","22188eb44b081f36bc7eab8264a4ab6ab59d7dbe6bf067286a1ab60886777368","1bff028028babc8756f715e7934700c2e4bda638b30f66757198c0dd7fa1597f","false","2026-07-23T01:00:40+00:00"
"v3-portable-recipe-1","v3:97822421:maven:infrastructure","97822421","https://github.com/pchudzik/springmock","f08a0a13c1dea1ceb35f462ccaaf51e738f64ef8","8","8","maven","maven:infrastructure",".","infrastructure","infrastructure","global_fallback_maven_module","global_fallback","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\infrastructure\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/infrastructure/pom.xml"" clean test-compile","logs/build/97822421_maven_infrastructure_5.log","1222cf21cc82093febe97296d0b7b4775e3e2b0c2b2941b9eab47d9e6017e2f5","a7b6094ebb23540200933e1d53beae6a8a68a48e4e59cef109f2de6cd72b8217","false","2026-07-23T01:00:50+00:00"
"v3-portable-recipe-1","v3:95247959:maven:http-clients/netty-nio-client","95247959","https://github.com/aws/aws-sdk-java-v2","999ce2f6564ba6615a4b428c26fc1116cf85fbdf","8","8","maven","maven:http-clients/netty-nio-client",".","http-clients/netty-nio-client","http-clients/netty-nio-client","repository_wrapper_maven_reactor","repository_wrapper","${REPO_DIR}","""${REPO_DIR}\mvnw.cmd"" -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl http-clients/netty-nio-client -am clean test-compile","""${REPO_DIR}/mvnw"" -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl http-clients/netty-nio-client -am clean test-compile","logs/build/95247959_maven_http-clients_netty-nio-client_3.log","d1d5dc24e89a376be23e0328273cf07163a0d3ad1dbc6caee2018605e88bff99","ba414c7bb4824eacdde8617abe7d971e0ced366a382202e90a50b3106185f778","false","2026-07-23T01:13:35+00:00"
"v3-portable-recipe-1","v3:9619226:maven:spring-data-simpledb-impl","9619226","https://github.com/3pillarlabs/spring-data-simpledb","f1e0eb4e48ec4674d3966e8f5bc04c95031f93ae","6","8","maven","maven:spring-data-simpledb-impl",".","spring-data-simpledb-impl","spring-data-simpledb-impl","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\spring-data-simpledb-impl\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/spring-data-simpledb-impl/pom.xml"" clean test-compile","logs/build/9619226_maven_spring-data-simpledb-impl_1.log","674382069a62d4554378994faebccb8a67062996e281d8ec4b95fff58b05d19c","a7ff7932910b927fed563cd4936d5b50d18b4a5718303117bd214be36eba70fc","false","2026-07-23T01:13:58+00:00"
"v3-portable-recipe-1","v3:78444970:maven:examples/graph","78444970","https://github.com/voho/web","837c9c673caac60d2d8de1647e9d3e08acd70d9a","8","8","maven","maven:examples/graph",".","examples/graph","examples/graph","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\examples\graph\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/examples/graph/pom.xml"" clean test-compile","logs/build/78444970_maven_examples_graph_1.log","2d32b8ab0e6e6f8ca9c9e6b0ee4ca01a74cebaec92fdb53a9ec2d2e0fea18051","68f0e3a553d41a08f7f9fea6f83bd44f1a239f21d1403b9e89d81928b9751eec","false","2026-07-23T01:39:40+00:00"
"v3-portable-recipe-1","v3:78444970:maven:examples/structures","78444970","https://github.com/voho/web","837c9c673caac60d2d8de1647e9d3e08acd70d9a","8","8","maven","maven:examples/structures",".","examples/structures","examples/structures","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\examples\structures\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/examples/structures/pom.xml"" clean test-compile","logs/build/78444970_maven_examples_structures_1.log","7824eab7a71651fb091047e97cefc4021d47cb54f8880bdec15ecd7c20b6e550","4ddb5aa3cc0d55a459cded090dc67480a83fc1f7e4fd5180a94d1a580bf325c5","false","2026-07-23T01:39:44+00:00"
"v3-portable-recipe-1","v3:78444970:maven:examples/random","78444970","https://github.com/voho/web","837c9c673caac60d2d8de1647e9d3e08acd70d9a","8","8","maven","maven:examples/random",".","examples/random","examples/random","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\examples\random\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/examples/random/pom.xml"" clean test-compile","logs/build/78444970_maven_examples_random_1.log","764e1f9417411c05124ffc41ae49b2294ca9f5a83cebe4cf6bb29014acb67b53","9d85b468b3f1de3d7d14f4604eb86fcd35a63ccc207a643fb5c675aaf2e85b9f","false","2026-07-23T01:39:47+00:00"
"v3-portable-recipe-1","v3:61565876:maven:injector","61565876","https://github.com/ljacqu/DependencyInjector","eecb0f51c3f2ae9936c9ff64f486953eb3e48b3d","8","8","maven","maven:injector",".","injector","injector","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\injector\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/injector/pom.xml"" clean test-compile","logs/build/61565876_maven_injector_1.log","a85efefbf3e71f3b5d840d1278ea6c222cb726cc8ec62247b242efa59a68a057","d66989ad4872fd543b05254f51fcdb5dfc43a31d0c1866b77fc834c974620016","false","2026-07-23T01:46:44+00:00"
"v3-portable-recipe-1","v3:46396068:maven:hbase0.98/hbase-manager-0.98","46396068","https://github.com/kakao/hbase-tools","233e9ab0a4a31da9f5387fbb453db6d5799c072d","8","8","maven","maven:hbase0.98/hbase-manager-0.98","hbase0.98","hbase0.98/hbase-manager-0.98","hbase-manager-0.98","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl hbase-manager-0.98 -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl hbase-manager-0.98 -am clean test-compile","logs/build/46396068_maven_hbase0.98_hbase-manager-0.98_3.log","59ef4575d3ccf008d76cf16369993f9563863d745a9cf46c828a637ab367c0a3","9d3c0369eeb655d51595272fb91d08d80616274d4dc80d3a20dfdc2726a9b58c","false","2026-07-23T01:48:14+00:00"
