id,title,authors,year,venue,search_strings
110,Automatically Learning a Precise Measurement for Fault Diagnosis Capability of Test Cases,"Zhao, Yifan; Sun, Zeyu; Wang, Guoqing; Liang, Qingyuan; Zhang, Yakun; Lou, Yiling; Hao, Dan; Zhang, Lu",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B"
111,Automatically Recommend Code Updates: Are We There Yet?,"Liu, Yue; Tantithamthavorn, Chakkrit; Liu, Yonghui; Thongtanunam, Patanamon; Li, Li",2024,ACM Transactions on Software Engineering and Methodology,String A
112,Autonomous and Adaptive Systems,"Li, J.; Zhang, M.; Li, N.; Weyns, D.; Jin, Z.; Tei, K.; Di Nitto, E.; Gerostathopoulos, I.; Bellman, K.; Metzger, A.",2024,ACM Transactions on,String A
113,B4: Towards Optimal Assessment of Plausible Code Solutions with Plausible Tests,"Chen, Mouxiang; Liu, Zhongxin; Tao, He; Hong, Yusu; Lo, David; Xia, Xin; Sun, Jianling",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B"
114,Battling against Protocol Fuzzing: Protecting Networked Embedded Devices from Dynamic Fuzzers,"Liu, Puzhuo; Zheng, Yaowen; Sun, Chengnian; Li, Hong; Li, Zhi; Sun, Limin",2024,ACM Transactions on Software Engineering and Methodology,"String A, String B"
115,Benchmarking Automated Program Repair: An Extensive Study on Both Real-World and Artificial Bugs,"Ouyang, Yicheng; Yang, Jun; Zhang, Lingming",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String B
116,Benchmarking LLMs for Unit Test Generation from Real-World Functions,"Huang, Dong; Zhang, Jie M.; Harman, Mark; Zhang, Qianru; Du, Mingzhe; Ng, See-Kiong",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C"
117,Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models,"Lu, Zeyu; Zhang, Peng; Nie, Yuge; Yang, Yibiao; Tang, Yutian; Chong, Chun Yong; Zhou, Yuming",2026,Proceedings of the ACM on Programming Languages,"String A, String B, String C"
118,Beyond Functional Correctness: A Knowledge-Enhanced Iterative Framework for Generating Criteria-Compliant Code,"Zhang, Yating; Dong, Wei; Wang, Shangwen; Zhang, Jing; Zhang, Siyu; Liu, Jiaxin",2026,ACM Transactions on Software Engineering and Methodology,String A
119,Beyond Functional Correctness: Investigating Coding Style Inconsistencies in Large Language Models,"Wang, Yanlin; Jiang, Tianyue; Liu, Mingwei; Chen, Jiachi; Mao, Mingzhi; Liu, Xilin; Ma, Yuchi; Zheng, Zibin",2025,Proceedings of the ACM on Software Engineering,String A
