sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,evosuite_branch_coverage,gpt_branch_coverage,evosuite_compilation,gpt_compilation,evosuite_line_coverage,gpt_line_coverage,evosuite_method_coverage,gpt_method_coverage,evosuite_mutation_coverage,gpt_mutation_coverage,evosuite_strict_branch_coverage,gpt_strict_branch_coverage,evosuite_strict_line_coverage,gpt_strict_line_coverage,evosuite_strict_method_coverage,gpt_strict_method_coverage,evosuite_strict_mutation_coverage,gpt_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value,strict_branch_diff_gpt_minus_evosuite
34,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maximumdepthofbinarytree/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/MaximumDepthofBinaryTree/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,lower_complexity_half,20,91,2,1,2,3,1.5,2,44,remaining240,,100.0,0,1,,100.0,,100.0,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,105.0,100.0
35,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/battleship/parser.java,41627638,41627638,Parser,leetcode/battleships-in-a-board/src/main/java/com/github/battleship/Parser.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,lower_complexity_half,35,312,5,1,4,10,2.0,6,134,remaining240,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
36,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/wordladder/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/WordLadder/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,higher_complexity_half,109,847,8,2,4,21,2.625,8,155,remaining240,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
37,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/movezeroes/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/MoveZeroes/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,higher_complexity_half,26,176,1,1,5,5,5.0,10,168,remaining240,,100.0,0,1,,100.0,,100.0,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,105.0,100.0
38,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/reverselinkedlist/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/ReverseLinkedList/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,higher_complexity_half,31,188,2,1,5,6,3.0,7,169,remaining240,,100.0,0,1,,100.0,,100.0,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,105.0,100.0
39,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/islandperimeter/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/IslandPerimeter/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,higher_complexity_half,40,316,4,1,5,13,3.25,5,183,remaining240,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
40,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/user/blacklists.java,43105609,43105609,BlackLists,weixin-mp/src/main/java/com/riversoft/weixin/mp/user/BlackLists.java,weixin-mp,maven:weixin-mp,Maven,1.8,lower_complexity_half,52,463,7,7,1,7,1.0,7,33,remaining240,,,1,0,70.37,,77.78,,0.0,,0.0,0.0,70.37,0.0,77.78,0.0,0.0,0.0,0.0,5.0,0.0
41,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/user/users.java,43105609,43105609,Users,weixin-mp/src/main/java/com/riversoft/weixin/mp/user/Users.java,weixin-mp,maven:weixin-mp,Maven,1.8,lower_complexity_half,102,802,12,12,3,19,1.5833333333333333,2,112,remaining240,66.67,,1,0,56.25,,75.0,,11.76,,66.67,0.0,56.25,0.0,75.0,0.0,11.76,0.0,-11.76,-6.76,-66.67
42,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/menu/menus.java,43105609,43105609,Menus,weixin-mp/src/main/java/com/riversoft/weixin/mp/menu/Menus.java,weixin-mp,maven:weixin-mp,Maven,1.8,lower_complexity_half,120,974,16,16,3,20,1.25,4,114,remaining240,25.0,,1,0,38.33,,78.57,,6.67,,25.0,0.0,38.33,0.0,78.57,0.0,6.67,0.0,-6.67,-1.67,-25.0
43,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/user/tags.java,43105609,43105609,Tags,weixin-mp/src/main/java/com/riversoft/weixin/mp/user/Tags.java,weixin-mp,maven:weixin-mp,Maven,1.8,lower_complexity_half,139,1121,22,18,3,24,1.0909090909090908,5,116,remaining240,100.0,,1,0,62.07,,85.71,,0.0,,100.0,0.0,62.07,0.0,85.71,0.0,0.0,0.0,0.0,5.0,-100.0
