sample_index,class_key,project,repo_id,focal_class,module,complexity_half,gpt_strict_mutation_coverage,evosuite_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value
93,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/masterslavejobserviceimpl.java,49384652,49384652,MasterSlaveJobServiceImpl,niubi-job-framework/niubi-job-service,higher_complexity_half,0.0,0.0,0.0,5.0
94,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/standbyjoblogserviceimpl.java,49384652,49384652,StandbyJobLogServiceImpl,niubi-job-framework/niubi-job-service,higher_complexity_half,0.0,7.69,-7.69,-2.6900000000000004
95,49384652:niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/loggerhelper.java,49384652,49384652,LoggerHelper,niubi-job-framework/niubi-job-core,higher_complexity_half,0.0,19.05,-19.05,-14.05
96,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/payload/formdatapayload.java,558963,558963,FormDataPayload,httpcache4j-api,lower_complexity_half,0.0,0.0,0.0,5.0
97,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/directives.java,558963,558963,Directives,httpcache4j-api,lower_complexity_half,90.0,40.0,50.0,55.0
98,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/headers.java,558963,558963,Headers,httpcache4j-api,higher_complexity_half,42.55,21.28,21.269999999999996,26.269999999999996
99,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/httpmethod.java,558963,558963,HTTPMethod,httpcache4j-api,higher_complexity_half,0.0,3.03,-3.03,1.9700000000000002
100,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/mimetype.java,558963,558963,MIMEType,httpcache4j-api,higher_complexity_half,54.05,10.81,43.239999999999995,48.239999999999995
101,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/auth/defaultauthenticator.java,558963,558963,DefaultAuthenticator,httpcache4j-api,higher_complexity_half,0.0,16.67,-16.67,-11.670000000000002
102,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/httpresponse.java,558963,558963,HTTPResponse,httpcache4j-api,higher_complexity_half,0.0,5.71,-5.71,-0.71
103,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/httprequest.java,558963,558963,HTTPRequest,httpcache4j-api,higher_complexity_half,0.0,42.5,-42.5,-37.5
104,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/statistics/processcountjob.java,60578004,60578004,ProcessCountJob,elastic-jobx-core,lower_complexity_half,0.0,0.0,0.0,5.0
105,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/config/configurationnode.java,60578004,60578004,ConfigurationNode,elastic-jobx-core,lower_complexity_half,0.0,0.0,0.0,5.0
106,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/plugin/sharding/strategy/averageallocationjobshardingstrategy.java,60578004,60578004,AverageAllocationJobShardingStrategy,elastic-jobx-core,lower_complexity_half,0.0,21.05,-21.05,-16.05
107,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/election/leaderelectionservice.java,60578004,60578004,LeaderElectionService,elastic-jobx-core,lower_complexity_half,11.76,0.0,11.76,16.759999999999998
108,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/sharding/shardingservice.java,60578004,60578004,ShardingService,elastic-jobx-core,higher_complexity_half,0.0,0.0,0.0,5.0
109,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/storage/jobnodestorage.java,60578004,60578004,JobNodeStorage,elastic-jobx-core,higher_complexity_half,0.0,0.0,0.0,5.0
110,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/execution/executioncontextservice.java,60578004,60578004,ExecutionContextService,elastic-jobx-core,higher_complexity_half,0.0,0.0,0.0,5.0
111,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/config/configurationservice.java,60578004,60578004,ConfigurationService,elastic-jobx-core,higher_complexity_half,0.0,0.0,0.0,5.0
112,61565876:injector/src/main/java/ch/jalu/injector/context/resolutioncontext.java,61565876,61565876,ResolutionContext,injector,lower_complexity_half,0.0,0.0,0.0,5.0
113,61565876:injector/src/main/java/ch/jalu/injector/handlers/dependency/singletonstoredependencyhandler.java,61565876,61565876,SingletonStoreDependencyHandler,injector,lower_complexity_half,0.0,0.0,0.0,5.0
114,61565876:injector/src/main/java/ch/jalu/injector/handlers/instantiation/standardinjection.java,61565876,61565876,StandardInjection,injector,lower_complexity_half,0.0,0.0,0.0,5.0
115,61565876:injector/src/main/java/ch/jalu/injector/context/objectidentifier.java,61565876,61565876,ObjectIdentifier,injector,lower_complexity_half,0.0,0.0,0.0,5.0
116,61565876:injector/src/main/java/ch/jalu/injector/handlers/instantiation/defaultinjectionprovider.java,61565876,61565876,DefaultInjectionProvider,injector,higher_complexity_half,0.0,0.0,0.0,5.0
117,61565876:injector/src/main/java/ch/jalu/injector/utils/reflectionutils.java,61565876,61565876,ReflectionUtils,injector,higher_complexity_half,0.0,0.0,0.0,5.0
118,61565876:injector/src/main/java/ch/jalu/injector/handlers/postconstruct/postconstructmethodinvoker.java,61565876,61565876,PostConstructMethodInvoker,injector,higher_complexity_half,0.0,0.0,0.0,5.0
119,61565876:injector/src/main/java/ch/jalu/injector/injectorimpl.java,61565876,61565876,InjectorImpl,injector,higher_complexity_half,0.0,0.0,0.0,5.0
